Growth,Log_size,Species,Patch_type,Landscape
7.974876901,5.647212123,Avicennia marina,Eastern,54S
9.522373535,5.257495372,Avicennia marina,Eastern,54S
9.750336373,4.143134726,Avicennia marina,Eastern,54S
8.159374737,2.1690537,Sonneratia alba,Eastern,54S
7.075808864,5.123963979,Avicennia marina,Eastern,54S
9.862665558,5.097577224,Sonneratia alba,Southern,54S
5.185988182,6.445719819,Sonneratia alba,Eastern,54S
10.32430094,8.124150603,Sonneratia alba,Southern,54S
5.455321115,6.866933284,Sonneratia alba,Southern,54S
6.897704943,5.723585102,Rhizophora mucronata,Southern,54S
6.249009525,3.784189634,Avicennia marina,Eastern,54S
3.044522438,4.49980967,Avicennia marina,Eastern,54S
7.187657164,6.327936784,Avicennia marina,Eastern,54S
10.26750547,6.828712072,Rhizophora mucronata,Southern,54S
12.48120125,7.534762657,Sonneratia alba,Southern,54S
10.42079214,6.040254711,Sonneratia alba,Southern,54S
1.098612289,7.501772494,Sonneratia alba,Southern,54S
11.0542178,7.620705087,Sonneratia alba,Central,54S
4.317488114,5.97126184,Sonneratia alba,Eastern,54S
9.387146748,3.701301974,Sonneratia alba,Eastern,54S
6.420402011,5.570251082,Rhizophora mucronata,Eastern,54S
6.263398263,5.192956851,Rhizophora mucronata,Central,54S
7.129297549,4.49980967,Sonneratia alba,Central,54S
10.36722157,3.583518938,Sonneratia alba,Central,54S
7.103322063,2.420368129,Sonneratia alba,Central,54S
8.119696253,5.075173815,Sonneratia alba,Central,54S
8.398409655,6.204557763,Rhizophora mucronata,Central,54S
9.547312484,6.358708442,Rhizophora mucronata,Central,54S
9.55446185,8.037220031,Sonneratia alba,Central,54S
7.620705087,6.040254711,Rhizophora mucronata,Central,54S
10.38739409,6.733401892,Rhizophora mucronata,Central,54S
6.456769656,3.719651113,Rhizophora mucronata,Western,54S
8.912607964,5.257495372,Sonneratia alba,Western,54S
5.411646052,3.449987546,Rhizophora mucronata,Central,54S
